As at March 31, 2020,As at March 31, 2019,As at March 31, 2020,As at March 31, 2019
Transfer from Special Economic Zone re-investment reserve,2347,3334,112113,91341,,,
Less: Appropriations,,,,,,,
Dividend on equity shares,31896,10085,31896,10085,,,
Tax on dividend,5738,1339,5738,1339,,,
Transfer to capital redemption reserve*,,,,8,,,
Transfer to Special Economic Zone re-investment reserve,2947,2750,2947,2750,71532,77159,
Investment revaluation reserve,,,,,,,
Opening balance,258,-18,258,-18,,,
Realised loss on equity shares carried at fair value through OCI,,,,-1,1,,
Change during the year (net),624,275,624,275,882,258,
Cash flow hedging reserve (Refer note 6(k)),,,,,,,
Opening balance,104,-71,104,-71,,,
Change during the year (net),-127,175,-127,175,-23,104,"73993,78523"
