As at\tAs at\tMarch 31, 2020\tMarch 31, 2019
Revenue\tTata Consultancy Services Sverige AB\t1,713\t1,657
Revenue\tTata Consultancy Services Canada Inc.\t1,934\t1,919
Revenue\tTata Consultancy Services Deutschland GmbH\t2,020\t1,924
Revenue\tTata Consultancy Services Netherlands BV\t3,364\t2,449
Revenue\tJaguar Land Rover Limited\t1,142\t651,
Revenue\tJaguar Cars Limited (dormant)\t9\t671,,
Purchases of goods and services (including reimbursements)\tTata America International Corporation\t3,416\t3,898
Purchases of goods and services (including reimbursements)\tTata Consultancy Services De Mexico S.A.,De C.V.\t1,"414\t1,314"
Purchases of goods and services (including reimbursements)\tTCS Foundation\t552\t91,,
Dividend income\tTata America International Corporation\t1,752\t2,747
Dividend income\tTata Consultancy Services Canada Inc.\t694\t236,,
