GRI Standard,Disclosure,Page No.,Omission
GRI 102: GeneralDisclosures 2016,102-52 Reporting cycle,328,
GRI 102: GeneralDisclosures 2016,102-53 Contact point for questions regarding the report,328,
GRI 102: GeneralDisclosures 2016,102-54 Claims of reporting in accordance with the GRl Standards,328,
GRI 102: GeneralDisclosures 2016,102-55 GRlcontent index,331,
GRI 102: GeneralDisclosures 2016,102-56 External assurance,328,
Material Topics - EconomicGRl201-Economic Performance,Material Topics - EconomicGRl201-Economic Performance,Material Topics - EconomicGRl201-Economic Performance,Material Topics - EconomicGRl201-Economic Performance
GRI103: Management,103-1 Explanation of the material topics and its boundaries,330,
Approach 2016,103-2The management approachandits components,79,
Approach 2016,103-3 Evaluation of the management approach,95,
GRl 201: EconomicPerformance 2016,201-1 Directeconomic Valuegeneratedanddistributed,"12,55",
