Name,Ratio to median remuneration,% increase in remuneration in the financial year
Non-executive directors,,"-,-"
N Chandrasekaran@,,"-,-"
Aman Mehta*,"^,^","A,A"
Dr Ron Sommer*,"^,^","A,A"
O P Bhatt**,32.09,"(6.98)#,^"
Aarthi Subramanian@@,-,"-,-"
Dr Pradeep Kumar Khosla,22.46,"(6.67)#,^^"
Hanne Sorensen,22.46,"^^,^^"
Keki Mistry,22.46,"^^,^^"
Don Callahan,22.46,"^^,^^"
Executive directors,,"214.65,(16.53)#,^"
Rajesh Gopinathan,162.31,"(12.87)#,^"
Chief Financial Officer,,"-,(3.54)#,^"
Ramakrishnan V,,"-,(3.54)#,^"
Company Secretary,,"-,(0.12)#,^"
Rajendra Moholkar,,"-,(0.12)#,^"
