"Survey of U.S.adults conducted July 27- Aug. 2, 2020","Survey of U.S.adults conducted July 27- Aug. 2, 2020","Survey of U.S.adults conducted July 27- Aug. 2, 2020","Survey of U.S.adults conducted July 27- Aug. 2, 2020"
Group Total sample,"Unweighted sample size 11,001",Weighted %,Plus or minus ... 1.5 percentage points
Half sample,"At least 5,500",,2.1 percentage points
Rep/Lean Rep,"4,507",45,2.2 percentage points
Half sample,"At least 2,230",,3.1 percentage points
Dem/Lean Dem,"6,132",51,2.0 percentage points
Half sample,"At least 3,033",,2.8 percentage points
COVID-19 county health impact as of July 26,,,
"Higher,most deaths within last 8 weeks","2,968",22,3.2 percentage points
"Higher,most deaths over 8 weeks ago","3,049",29,2.7 percentage points
"Lower,most deaths within last 8 weeks","2,469",24,3.0 percentage points
"Lower,most deaths over 8 weeks ago","2,515",25,2.9 percentage points
