Variable,Benchmark source,,,,
Age x Gender,2019 American Community Survey (ACS),Education x Gender,2019 American Community Survey (ACS),Education x Age,2019 American Community Survey (ACS)
Race/Ethnicity x Education,2019 American Community Survey (ACS),Born inside vs. outside the U.S. among Hispanics and Asian Americans,2019 American Community Survey (ACS),Years lived in the U.S.,2019 American Community Survey (ACS)
Census region x Metro/Non-metro,2020 CPS March Supplement,Volunteerism,2021 American Trends Panel Annual Profile Survey,,
Party affiliation,2021 National Public Opinion Reference Survey (NPORS),Frequency of internet use,2021 National Public Opinion Reference Survey (NPORS),Religious affiliation,2021 National Public Opinion Reference Survey (NPORS)
Additional weighting dimensions applied within Hispanic adults,2019 American Community Survey (ACS),Age by Gender,2019 American Community Survey (ACS),Education by Gender,2019 American Community Survey (ACS)
Education by Age,2019 American Community Survey (ACS),Hispanic origin or ancestry,2019 American Community Survey (ACS),Hispanic origin by U.S. citizenship,2019 American Community Survey (ACS)
Hispanic origin by education,2019 American Community Survey (ACS),Birth country,2019 American Community Survey (ACS),Years lived in the U.S.,2019 American Community Survey (ACS)
Census region,2020 CPS March Supplement,Metro/Non-metro,2020 CPS March Supplement,,
Party affiliation,2021 National Public Opinion Reference Survey (NPORS),Frequency of internet use,2021 National Public Opinion Reference Survey (NPORS),Religious affiliation,2021 National Public Opinion Reference Survey (NPORS)
Volunteerism,2021 American Trends Panel Annual Profile Survey,,,,
Voter registration x Mexican origin,2018 CPS Voting and Registration Supplement,,,,"""Note: Estimates from the ACS are based on noninstitutionalized adults. Voter registration is calculated using procedures from Hur, Achen (2013) and rescaled to include the total U.S. adult population."""
PEW RESEARCH CENTER,PEW RESEARCH CENTER,PEW RESEARCH CENTER,PEW RESEARCH CENTER,,
