Line,Station,Description
Line 1,North Railway Station,"Not to be confused with Chengdu North Railway Station, which is a freight train yard"
Line 1,Wenshu Monastery,Access to the monastery and its surrounding markets
Line 1,Tianfu Square,"Chengdu's geographical centre, close to the Sichuan Museum and shopping on Renmin South Road, and interchange with Line 2"
Line 1,Jinjiang Hotel,One of the stops that will land you in the heart of the Gaoxin area
Line 1,South Railway Station,"The station for the world's biggest building, New Century Global Centre"
Line 1,Financial City,
Line 1,Century City,
Line 2,People's Park,"A public park with a lake for boating, teahouses and traditional ear cleaning"
Line 2,Tianfu Square,"The primary retail district, exit for Taikoo Li also"
Line 2,Chunxi Road,The terminal for the Chengdu-Chongqing high-speed train
Line 2,East Railway Station,
Line 3,Chunxi Road,"A complete translation would be Panda Avenue, and this is the stop for the panda breeding centre"
Line 3,Chengdu Zoo,
Line 3,Xiongmao Avenue,
Line 4,Kuanzhai Alley,"The historic (but retouched) pedestrian area, for snacks and trinkets"
Line 4,West Railway Station,
