Bank / ATM (Automated Teller Machine),OCBC ATM,"North Spine Plaza, Level 1 (near OCBC Bank)","South Spine, Level B3",Near Canteen 2
Type of Facilities,Location,,,
Postal,"SAM (Self-Service Automated Machine),North Spine Plaza, Level 2",,,
Postal,"SAM (Self-Service Automated Machine),South Spine, Level B3",,,
Postal,"7-Eleven @ Hall 2,Near 7-Eleven, next to Canteen 2",,,
Postal,"POPstation,North Spine Plaza, Level 2",,,
Postal,"POPstation,South Spine",,,
Postal,"POPstation,The Quad",,,
Bank / ATM / Postal Toll,"OCBC Bank (NTU Branch),North Spine Plaza, Level 1",,,
Bank / ATM / Postal Toll,"OCBC ATM,North Spine Plaza, Level 1 (near OCBC Bank)",,,
Bank / ATM / Postal Toll,"OCBC ATM,South Spine, Level B3",,,
Bank / ATM / Postal Toll,"OCBC ATM,Near Canteen 2",,,
POSB ATM,"North Spine Plaza, Level 2","South Spine, Level B3",Near Canteen 2,
State Bank of India ATM,"North Spine Plaza, Level 2",,,
UOB ATM,"North Spine Plaza, Level 2",,,
Supermarkets,Giant Super,Hall 2,,
Prime Supermarket,"North Spine Plaza, Level 1",,,
Convenience Stores,7-Eleven Convenience Store,Hall 2,"Hall 14, next to canteen",
Convenience Stores    7-Eleven Convenience Store    Hall 2,,,,
Convenience Stores    7-Eleven Convenience Store    Hall 14,next to canteen,,,
Convenience Stores    Buzz    North Spine Plaza,Level 1,,,
Bookstores    Popular Bookstore    NIE 4-B1-10,,,,
Bookstores    Booklink Pte Ltd    Blk S4,Level B5,,,
Travel    STA Travel    North Spine Plaza,Level 1,,,
Lifestyle    Campus Supplies    North Spine Plaza,Level 1,,,
Lifestyle    Flower Cottage by Noel    North Spine Plaza,Level 1,,,
Lifestyle    HerVelvetVase    North Spine Plaza,Level 1,,,
Lifestyle    Mini Toons & More    North Spine Plaza,Level 1,,,
Lifestyle    U-shop    North Spine Plaza,Level 1,,,
Mini Toons & More\tNorth Spine Plaza,Level 1,,,
U-shop\tNorth Spine Plaza,Level 1,,,
Computer Store\tEight Flags Computer Systems & Supplies\tSouth Spine,"Level B3,near Canteen B",,,
Hair Care\tHair Therapy\tNext to Canteen 2,,,,
\tK-Cuts\tNorth Spine Plaza,Level 1,,,
Self-service Machines\tAXS Machine\tNorth Spine,Level 2,,,
\t\tSouth Spine,Level B3,,,
\t\tNear Canteen 2,,,,
\tPhoto-Me (Instant photo taking)\tNorth Spine,Level 2,,,
\t\tSouth Spine,"Level B3,Canteen B",,,
