,DA>1,Ave DA,pairs DARR
de-en,"2,000","16.0 239,220","85,365"
fi-en,"1,996","9.5 83,168","38,307"
gu-en,"1,016 11.0","55,880","31,139"
kk-en,"1,000 11.0","55,000","27,094"
lt-en,"1,000 11.0","55,000","21,862"
ru-en,"1,999 11.9","131,766","46,172"
zh-en,"2,000 10.1","95,174","31,070"
en-cs,"1,997","9.1 75,560","27,178"
en-de,"1,997 19.1","347,109","99,840"
en-fi,"1,997 8.1","59,129","31,820"
en-gu,998 6.9,"21,854","11,355"
en-kk,998 9.0,"37,032","18,172"
en-lt,998 9.0,"36,435","17,401"
en-ru,"1,997 8.7","69,503","24,334"
en-zh,"1,997 9.8","87,501","18,658"
de-cs,"1,997","8.5 65,039","35,793"
de-fr,"1,605","4.1 12,055","4,862"
fr-de,"1,224","3.0 4,258","1,369"
newstest2019,newstest2019,newstest2019,newstest2019
