Sl.No.,Category of share holders,No. of shares held,Percentage of Shareholding
1,Promoter's Holding Promoters Indian Promoters,3771244,36.27
2,Promoter's Holding Promoters Foreign Promoters,3736704,35.93
2,Promoter's Holding Promoters Person's acting in concert,NIL,NIL
,Promoter's Holding Sub Total,7507948,72.20
3,Non-Promoter's Holding Institutional Investors Mutual Fund,1125,0.01
3,Non-Promoter's Holding Institutional Investors UTI,100,0.00
3,Non-Promoter's Holding Banks,18659,0.18
3,Non-Promoter's Holding Insurance Companies,45467,0.44
3,Non-Promoter's Holding State Government,4800,0.05
3,Non-Promoter's Holding State Financial Corp.,2400,0.02
3,Non-Promoter's Holding FII's,387732,3.73
,Non-Promoter's Holding Sub Total,460283,4.43
4,Others Private Corporate Bodies,239167,2.30
4,Others Indian Public,2062990,19.84
4,Others NRIs/OCBs,119806,1.15
4,Others Director's & Relatives,8590,0.08
,Others Sub Total,2430553,23.37
,Grand Total,10398784,100.00
