FINANCIAL RESULTS,2002-2003,Rs. in lac,2001-2002,Rs. in lac
Gross Profit,8873.49,,7995.12,
Less : Depreciation,913.01,,811.28,
Provision for Taxation-current,,- 2918.00,- 2466.00,
- deferred,(1018.22),,(61.71),
Profit after tax for the year,6060.70,,4779.55,
Exceptional item,(Refer note 15 to accounts),2270.09,--,
,3790.61,,4779.55,
Profit Brought Forward,16233.07,,14377.30,
,20023.68,,19156.85,
Appropriations,,,,
Proposed Dividend,1767.80,,1923.78,
Corporate Dividend Tax,226.50,,-,
Transfer to General Reserve,1100.00,,1000.00,
Surplus carried to Balance Sheet,16929.38,,,16233.07
,20023.68,,,19156.85
