Northbound,Northbound,Northbound,Northbound,Northbound,Northbound
TrainNumber,DepartSJ,MaxLoad,PercentofSeatedCapacity,HighSeasonMaxLoad,HighSeasonCapacity
319,7:03AM,878,135%,1028,158%
323,7:45AM,834,128%,976,150%
329,8:03AM,828,127%,969,149%
375,5:23PM,794,122%,929,143%
217,6:57AM,791,122%,925,142%
225,7:50AM,761,117%,890,137%
313,6:45AM,703,108%,822,126%
215,6:50AM,691,106%,809,124%
269,4:39PM,690,106%,807,124%
227,7:55AM,671,103%,785,121%
233,8:40AM,660,102%,772,119%
365,4:23PM,626,96%,733,113%
