Source,Prospects,Cost,% Lead,Velocity (Days),Lead to Opp Index
Trade Show – Virtual,"3,793",$25.44,17%,81,1.0
3rd Party Email Blast,"3,302",$34.65,18%,43,0.5
Trade Show,"2,703",$221.30,23%,61,1.9
Paid Webinar,"1,760",$68.50,21%,60,1.0
PPC,990,$158.10,45%,42,1.4
Content Syndication,536,$82.84,12%,59,0.3
Other Paid,208,$187.50,13%,93,1.3
Website,"2,871",58%,27,2.6,
Sales Prospecting,"1,888",26%,46,2.2,
Partner Co-Marketing,903,17%,102,1.1,
AppExchange,353,78%,37,3.4,
Referral,80,36%,12,1.0,
Other Inbound,370,100%,19,9.0,
