Year & Month,NSE,NSE,NSE,BSE,BSE,BSE,CSE,CSE,CSE
Year & Month,High(Rs.),Low(Rs.),Volume in 000's(Nos.),High(Rs.),Low(Rs.),Volume in 000's(Nos.),High(Rs.),Low(Rs.),Volume in 000's(Nos.)
2006 APRIL,208.50,182.00,"12,49,86",207.90,181.00,"2,96,99",NA,NA,Nil
MAY,212.50,145.00,"17,52,70",212.70,152.10,"4,19,09",203.00,164.40,2
JUNE,184.00,140.50,"21,09,86",183.90,140.40,"5,82,73",182.60,161.70,1
JULY,186.90,161.25,"13,50,11",188.00,161.30,"3,06,91",186.90,164.00,11
AUGUST,192.60,165.70,"9,47,66",192.00,165.30,"2,41,07",181.90,166.00,23
SEPTEMBEROCTOBERNOVEMBER,193.00,176.00,"9,58,02",192.95,176.10,"2,23,49",NA,NA,Nil
SEPTEMBEROCTOBERNOVEMBER,196.70,182.00,"7,88,03",196.45,181.90,"1,84,10",NA,NA,Nil
SEPTEMBEROCTOBERNOVEMBER,192.80,174.00,"8,46,24",193.00,174.00,"2,14,48",NA,NA,Nil
DECEMBER,191.95,166.50,"8,21,60",192.00,167.00,"1,60,15",NA,NA,Nil
2007 JANUARY,181.00,160.10,"10,40,82",180.60,160.30,"2,28,47",NA,NA,Nil
FEBRUARY,180.00,155.10,"9,34,89",179.90,157.00,"1,65,69",NA,NA,Nil
MARCH,175.00,130.00,"19,74,25",175.00,140.15,"4,51,0",NA,NA,Nil
