Month and Date,Day,Time,Effects
1883.,Dec. 7,Friday,"2 8 p.m.,Sudden and terrific thud, as if from blasting operations."
,7,,"2 22,Severe shake, accompanied with rumbling noise."
,18,Tuesday,"1 15 a.m.,Very sharp shock, shaking house; not so severe as on the 7th inst."
,19,Wednesday,"8 30,Slight shock."
,20,Thursday,"8 30,Sudden, sharp shock."
,20,,"11 15,Very sharp shock."
,21,Friday,"4 32 p.m.,Slight shock, accompanied by rumbling noise."
1884.,Jan. 10,Thursday,"7 20,Slight shock."
,12,Saturday,"8 14 a.m.,Very sharp, severe shock; proper shake of house."
,22,Tuesday,"4 55,Awoke by sudden rattling of jugs in wash-basin."
,29,,"9 7 p.m.,Slight shock."
Feb. 10,Sunday,11 7 ,"Severe, startling shocks."
,14,Thursday,"7 17 a.m.,Sudden rattling of bedroom ware."
Mar. 2,Sunday,4 20 ,Awoke by alarming shake of house; thought the walls were giving way.
,2,,"10 0,Slight shock."
,6,Thursday,"5 56,Sudden, sharp shock."
,6,,"8 10,Severe shock."
,7,Friday,"8 30,House shook."
,11,Tuesday,"4 33,Awoke by awful shaking of bed and furnishings."
,12,Wednesday,"2 50,Severe shock."
,13,Thursday,"6 56,Slight shock."
,16,Sunday,"7 25,Sharp, severe shock."
,18,Tuesday,"9 24,Sharp, severe shock."
,18,,"4 4 p.m.,Severe shock."
,19,Wednesday,"10 55 a.m.,Frightful shake; almost as bad as that of Dec. 7."
,20,Thursday,"6 11,Slight shock."
,26,Wednesday,"7 9,Do."
,26,,"7 11,Do."
,27,Thursday,"7 37,Do."
,27,,"11 7 p.m.,Very severe shock, shaking house."
,29,Saturday,"2 12,Slight shock."
April 2,Wednesday,4 27 a.m.,"Awoke by frightful shock, causing complete oscillation of whole house."
,2,,"3 33 p.m.,Severe shock."
,3,Thursday,"2 45 a.m.,Slight shock."
,4,Friday,"8 35,Do."
,5,Saturday,"10 45,Awfully severe shock; house shook, windows rattled."
,7,Monday,"7 19 p.m.,Slight shock."
