Wavel WaveI,Wavel WaveI,Wavel WaveI,Wave Il
Sample size,"3,004","3,000","4,021"
Errormargin,+/-1.8,+/1.8,+/-1.5
Number of districts sampled,31,31,44
No offieldwork personnel,52,50,72
Pre-testdate(s),"Sept.11,2013","Jan.27,2014","Aug.7&8,2014"
Trainingdates,"Sep.15&16,2013","Jan.29&30,2014","Aug.22 to26,2014"
Duration of the fieldwork,"Sep18.toOct.8,2013","Feb.2to24,2014","Aug.29 toSep.29,2014"
Surveyadministration format,Hard copy,Hardcopy,Tabletusing REMO
Short hand forsurvey,Sep-13,Feb-14,Sep-14
