Association Name,Contact Email
Tsinghua University Canadian Student Association,acobb30912@hotmail.com
Tsinghua University European Student Association,paulayuyun@gmail.com
Tsinghua University Indonesian Student Association,bennywijaya_w@outlook.com
Tsinghua University Japanese Student Association,kstr4423@icloud.com
Tsinghua University Korean Undergraduate Student Association,515101813@qq.com
Tsinghua University Korean Graduate Student Association,KORGrad_thu@qq.com
Tsinghua University Latin American Student Association,thulaso@126.com
Tsinghua University Malaysian Student Association,thumsa@outlook.com
Tsinghua University Myanmar Student Association,bjj17@mails.tsinghua.edu.cn
Tsinghua University Oceanian Student Association,oceania.tsinghua@gmail.com
Tsinghua University Pakistan Student Association,engineer_fahad@rocketmail.com
Tsinghua University Russian Speakers Student Association,thurssa@163.com
Tsinghua University Thailand Student Association,2985447552@qq.com
Tsinghua University US Student Association,dillon.zhou@foxmail.com
Tsinghua University Vietnamese Student Association,nguyenductrongktqs@gmail.com
