2021 Quarterly results,Q1,Q2,Q3,Q4
Net sales,"4,942","6,993","7,390","8,391"
Cost of sales,"(1,980)","(3,048)","(2,888)","(3,986)"
Gross profit,"2,962","3,945","4,502","4,405"
Operating expenses,"(1,716)","(2,070)","(2,171)","(2,639)"
Other net operating income (losses),(-11),(-9),(-2),(-14)
Gross operating profit (EBITDA),"1,235","1,866","2,330","1,752"
Amortisation and depreciation,(666),(749),(722),(762)
Operating income (EBIT),569,"1,117","1,607",990
Financial results,(34),(34),(33),(42)
Results from companies consolidated by equity method,9,16,14,19
Income before taxes,544,"1,099","1,588",967
Taxes,(121),(249),(356),(222)
Net income,423,850,"1,232",745
Minorities,1,,4,2
Net income attributable to the controlling company,421,850,"1,228",744
