,2021,2020,2019,2018
Indicators for sustainable management of our products,Indicators for sustainable management of our products,,,
Articles placed on the market (in tonnes),"565,027","450,146","545,036","528,797"
Join Life articles placed on the market (% of thetotal),47%,38%,19%,9%
"Cotton from more sustainable sources: organic,BC and recycled (in tonnes)","166,195","73,874","38,676","18,851"
Polyester from more sustainable sources (in tonnes),"26,728","9,594","5,332","1,881"
Linen from more sustainable sources (in tonnes),"4,201","1,245","1,813",266
Viscose and other man-made cellulosic fibresfrom more sustainable sources (in tonnes),"29,053","8,379","6,692","3,178"
Garments collected through the Closing the LoopProgramme (in tonnes) 6),"16,072","13,043","15,321","14,825"
Materials recovered for its reuse (in tonnes),"19,048","16,871","21,298","19,247"
Degree of compliance with CtW and StW standards,98.5%,98.3%,97.4%,97.4%
Picking programme: Inspections,"49,999","42,856","56,352","63,420"
Picking programme: Garment analyses,"792,582","744,404","899,046","933,980"
Indicators for sustainable supply chain management and Workers at the Centre,Indicators for sustainable supply chain management and Workers at the Centre,Indicators for sustainable supply chain management and Workers at the Centre,Indicators for sustainable supply chain management and Workers at the Centre,
Product suppliers with purchases in the year (7)(8),"1,790","1,805","1,985","1,866"
Factories declared by suppliers (9),"8,756","8,543","8,155","7,235"
Rejected suppliers,25,44,56,50
Audits of suppliers and manufacturers (10),"17,477","11,997","12,215","12,064"
Progress in the Workers at the Centre strategic plan,85%,78%,NA,NA
Number of Workers at the Centre projectsimplemented (11),46,38,45,34
Number of workers benefited from the activitiesdeveloped under Workers at the Centre,"1,366,420","1,224,557","1,472,719","994,154"
Suppliers and factories reached by the activitiesdeveloped under Workers at the Centre,"1,153","1,374","1,597",594
Indicators for planet preservation actions,Indicators for planet preservation actions,Indicators for planet preservation actions,Indicators for planet preservation actions,Indicators for planet preservation actions
Global energy consumption (GJ),"6,322,357","4,574,536","6,814,610","7,088,858"
Relative energy consumption (MJ/m2),809,593,855,943
Group energy needs covered by renewable energy(in %),91%,81%,63%,45%
Market-based scope 1+2 emissions (t CO2eq),"62,345","110,535","309,785","438,620"
Kg COzeq per m2 (market-based scope 1+2),8,14,39,58
Total number of persons in the Sustainability team,"4,522","5,637","6,404","4,925"
External,"4,267","5,422","6,204","4,774"
Internal,255,215,200,151
Corporate community investment indicators,,,,
Corporate Community Investment (in euros),"63,500,135","71,803,602","49,231,909","46,218,895"
Number of direct beneficiaries,2.217.342,3.313.581,2.441.300,2.425.639
Total number of community organisations supported,427,439,421,413
Number of community investment projects,725,703,670,622
Number of garments donated to social causes,"5,899,270","4,114,490","3,164,084","3,225,462"
Number of hours spent by employees on socialinitiatives during working hours,"206,087","178,035","122,284","118,077"
Indicators for our people,,,,
Percentage of women/men,76%/24%,76%/24%,76%/24%,75%/25%
Number of nationalities,177,171,172,154
Average employee age,29.3,30.1,28.9,28.7
Number of employees,"165,042","144,116","176,611","174,386"
Type of contract12,,,,
- Permanent,81%,87%,77%,73%
- Temporary,19%,13%,23%,27%
Type of working day (13)12,,,,
- Full-time,44%,50%,47%,51%
- Part-time,56%,50%,53%,49%
Employees by activity,,,,
- Store,86%,86%,87%,87%
- Logistics,6%,6%,6%,5%
- Manufacturing,1%,1%,1%,1%
- Central services,7%,7%,6%,7%
