Worker participation,Living wages,Gender,diversity and inclusion,Occupational health and safety,Protection of migrants and refugees,Social protection,Protection of labour rights in the production of raw materials
Fair and favourable working conditions,,,,,,,
Non-discrimination,,,,,,,
Adequate standard of living,,,,,,,
Education,,,,,,,
Health,,,,,,,
Life,,,,,,,
Not being subject to degrading treatment,,,,,,,
Not having to endure harassment,,,,,,,
Equal pay,,,,,,,
Freedom of movement,,,,,,,
Freedom and security of the person,,,,,,,
Engagement in public life,,,,,,,
Rights of employees with disabilities,,,,,,,
Reproductive rights,,,,,,,
Freedom of association,,,,,,,
Healthy environment,,,,,,,
Ban on forced labour,,,,,,,
Collective bargaining,,,,,,,
Collective rights of communities,,,,,,,
Social protection,,,,,,,
Freedom of thought, conscience and religion,,,,,,","
Privacy,,,,,,,
Protection against violence,,,,,,,
Healthcare,,,,,,,
Freedom of opinion and expression,,,,,,,
Property,,,,,,,
