EQUITY AND LIABILITIES,"15,759","14,550"
EQUITY,"15,733","14,520"
Equity attributable to the Parent,"15,733","14,520"
Equity attributable to non-controlling interests,26,30
NON-CURRENT LIABILITIES,"5,157","5,529"
Provisions,(21),"287,252"
Other non-current liabilities,(22),"248,280"
Financial debt,(20),"1,3"
Lease liability,(15),"4,262,4,599"
Deferred tax liabilities,(24),"359,396"
CURRENT LIABILITIES,"8,030","6,338"
Financial debt,(20),"35,11"
Other financial liabilities,(25),"22,27"
Lease liability,(15),"1,562,1,552"
Income tax payable,(24),"211,88"
Trade and other payables,(19),"6,199,4,659"
TOTAL EQUITY AND LIABILITIES,"28,945","26,418"
