Acquiring Company,Acquired Company
"ITX CANADA,LTD","MASSIMO DUTTI CANADA,INC."
"ITX CANADA,LTD","ZARA HOME CANADA, INC."
"INDITEX SLOVAKIA, S.R.O.","BERSHKA SLOVAKIA,S.R.O"
"INDITEX SLOVAKIA, S.R.O.","PULL& BEAR SLOVAKIA,S.R.O"
"INDITEX SLOVAKIA, S.R.O.","STRADIVARIUS SLOVAKIA, S.R.O."
"INDITEX SLOVAKIA, S.R.O.","MASSIMO DUTTI SLOVAKIA,S.R.O."
"INDITEX SLOVAKIA, S.R.O.","OYSHO SLOVAKIA,S.R.O."
"ITX S, D.0.0",BERSHKA SLOVENIE
"ITX S, D.0.0",MASSIMO DUTTISLOVENIE
"ITX S, D.0.0",PULL& BEAR SLOVENIE
"ITX S, D.0.0",STRADIVARIUSSLOVENIIA
"DENLLO,S.A.","SAMLOR, S.A."
"GRUPO MASSIMO DUTTI, S.A.","UTERQUE,S.A."
"GRUPO MASSIMO DUTTI, S.A.","UTERQUE ESPANA,S.A."
"GRUPO MASSIMO DUTTI, S.A.","UTERQUE DISENO,S.L."
ITX HELLAS SINGLE MEMBER S.A.,PULLAND BEAR HELLAS SINGLE MEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,MASSIMO DUTTI HELLASSINGLEMEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,BERSHKA HELLAS SINGLEMEMBER S.A.
ITX HELLAS SINGLE MEMBER S.A.,STRADIVARIUSHELLASSINGLEMEMBERS.A.
ITX HELLAS SINGLE MEMBER S.A.,OYSHO HELLAS SINGLEMEMBER S.A.
ITX HELLAS SINGLE MEMBER S.A.,ZARA HOME HELLAS SINGLE MEMBER S.A.
ITX HELLAS SINGLE MEMBER S.A.,UTERQUE HELLAS SINGLE MEMBER S.A.
ITX NEDERLAND BV,"MASSIMO DUTTI NEDERLAND,B.V."
ITX NEDERLAND BV,"ZARA HOME NEDERLAND, B.V."
ITX NEDERLAND BV,"BERSHKA NEDERLAND,B.V."
ITX NEDERLAND BV,"PULL& BEAR NEDERLAND, B.V."
ITX NEDERLAND BV,"STRADIVARIUS NEDERLAND, B.V."
ITX RETAILIRELAND LIMITED,"BERSHKA IRELAND,LTD"
ITX RETAILIRELAND LIMITED,"MASSIMO DUTTI IRELAND,LTD"
ITX RETAILIRELAND LIMITED,PULL&BEARIRELANDLIMITED
ITX RETAILIRELAND LIMITED,STRADIVARIUSIRELAND LIMITED
ITX RETAILIRELAND LIMITED,ZARA HOMEIRELANDLIMITED
ITX ITALIA SRL,"OYSHO ITALIA, S.R.L."
ITX ITALIA SRL,"BERSHKA ITALIA,S.R.L."
ITX ITALIA SRL,"MASSIMO DUTTI ITALIA, S.R.L."
ITX ITALIA SRL,PULL& BEAR ITALIA S.R.L.
ITX ITALIA SRL,"ZARA HOME ITALIA, S.R.L."
ITX ITALIA SRL,STRADIVARIUS ITALIA S.R.L.
ITX ITALIA SRL,"ZARA IMMOBILIAREITALIA, S.R.L"
ITX ITALIA SRL,"ZARA VITTORIO 11ITALIA,S.R.L."
ITX ITALIA SRL,"ZARA VITTORIO 13 ITALIA, S.R.L."
ITX LUXEMBOURG S.A.,"ZARA LUXEMBOURG, S.A."
ZZARA COMMERCIAL(SHANGHAI) CO.LTD.,"UTERQUE COMMERCIAL& TRADING (SHANGHAI) CO.,LTD"
"ITX PORTUGAL - CONFECCOES, S.A.","PULL& BEAR (PORTUGAL) - CONFECCOES,S.A."
"ITX PORTUGAL - CONFECCOES, S.A.","BERSHKA (PORTUGAL) - CONFECCOES,S.A."
"ITX PORTUGAL - CONFECCOES, S.A.","ROBUSTAE- CONFECCOES, S.A."
"ITX PORTUGAL - CONFECCOES, S.A.","SSTRADIVARIUS (PORTUGAL)-CONFECCOES,S.A."
"ITX PORTUGAL - CONFECCOES, S.A.","OYSHO PORTUGAL-CONFECCOES,S.A."
"ITX PORTUGAL - CONFECCOES, S.A.","ZARA HOME (PORTUGAL)-ARTIGOS E UTILIDADES PARA OLAR,S.A."
"ITX PORTUGAL - CONFECCOES, S.A.","GRUPUTERQUE PORTUGAL - CONFECCOES E ACESSORIOS,S.A."
"ITX PORTUGAL - CONFECCOES, S.A.","ITALCO MODA ITALIANA,S.A."
"INDITEX CESKA REPUBLIKA,S.R.O","PULL&BEAR CESKA REPUBLIKA,S.R.O."
"INDITEX CESKA REPUBLIKA,S.R.O","BERSHKA CESKA REPUBLIKA,S.R.O."
"INDITEX CESKA REPUBLIKA,S.R.O","STRADIVARIUS CESKA REPUBLIKA,S.R.O."
"INDITEX CESKA REPUBLIKA,S.R.O","MASSIMO DUTTI CESKA REPUBLIKA,S.R.O."
"INDITEX CESKA REPUBLIKA,S.R.O","ZARA HOME CESKA REPUBLICA, SRO"
"INDITEX CESKA REPUBLIKA,S.R.O","OYSHO CESKA REPUBLICA,SRO"
"INDITEX ROMANIA, S.R.L.","ZARA HOME RO, S.R.L."
"INDITEX ROMANIA, S.R.L.","STRADIVARIUS RO, S.R.L."
"INDITEX ROMANIA, S.R.L.","BERSHKA CARPATI, S.R.L."
"INDITEX ROMANIA, S.R.L.","MASSIMO DUTTI RO, S.R.L."
"INDITEX ROMANIA, S.R.L.","PULL& BEAR RO, S.R.L."
"INDITEX ROMANIA, S.R.L.","OYSHO RO, S.R.L"
"INDITEX ROMANIA, S.R.L.",UTERQUE FASHION RO S.R.L.
ITX RS DOO BEOGRAD,"PULL&BEAR SERBIA,D.O.O.BELGRADE"
ITX RS DOO BEOGRAD,"MASSIMO DUTTI SERBIA,D.O.O.BELGRADE"
ITX RS DOO BEOGRAD,"BERSHKA SERBIA,D.O.O.BELGRADE"
ITX RS DOO BEOGRAD,"STRADIVARIUS SERBIA,D.O.O.BELGRADE"
ITX RS DOO BEOGRAD,"OYSHO SERBIA,D.O.O.BELGRADE"
ITX RS DOO BEOGRAD,ZARA HOME SRB DOO BEOGRAD
ITX SVERIGE AB,"MASSIMO DUTTI SVERIGE,AB."
ITX SVERIGE AB,ZARA HOME SVERIGE AKTIEBOLAG
ITX SVERIGE AB,"PULL& BEAR SVERIGE,AB"
ITX SVERIGE AB,"OYSHO SVERIGE,AB"
INDITEX UKRAINE LLC,"PULL& BEAR UKRAINE,LLC."
INDITEX UKRAINE LLC,"MASSIMO DUTTI UKRAINE, LLC."
INDITEX UKRAINE LLC,"BERSHKA UKRAINE,LLC."
INDITEX UKRAINE LLC,"STRADIVARIUS UKRAINE,LLC."
INDITEX UKRAINE LLC,"OYSHO UKRAINE, LLC."
INDITEX UKRAINE LLC,"ZARA HOME UKRAINE,LLC."
INDITEX UKRAINE LLC,"LIMITED LIABILITYCOMPANY""UTERQUE UKRAINE"""
