ITEM,2021,2020,2019,2018
Quorum for attendance at the AnnualGeneral Meeting,88.74%,88.72% (103),87.62% (104),88.24% (105)
Number of directors,11,11,11106,9
Executive Directors,2,2,2,1
Independent Directors,6,6,6,5
Proprietary Directors,3,3,3,3
Meetings of the Board,7,7,5,5
% of attendance,100%,100%,100%,100%
Meetings of the Audit and ComplianceCommittee,5,5,5,5
% of attendance,100%,100%,100%,100%
Meetings of the Nomination Committee,4,4,5,5
% of attendance,100%,100%,100%,100%
Meetings of the RemunerationCommittee,3,4,5,3
% of attendance,67%,100%,100%,100%
Meetings of the Sustainability Commitee,4,3,-,-
% of attendance,100%,100%,1,1
