,2021
SPAIN,
Number of suppliers with purchases in the year,162
Number of sewing factories associated with suppliers with purchase,117
Number offactories involved in other processes associated with suppliers with purchase (114),326
Workforce of manufacturers working for Inditex in Spain,"19,546"
PORTUGAL,
Number of suppliers with purchases in the year,151
Number of sewing factories associated with suppliers with purchase,503
Number of factories involved in other processes associated with suppliers with purchase (114),385
Workforce of manufacturers working for Inditex in Portugal,"49,647"
MOROCCO,
Number of suppliers with purchases in the year,173
Number of sewing factories associated with suppliers with purchase,329
Number of factories involved in other processes associated with suppliers with purchase (114),38
Workforce of manufacturers working for Inditex in Morocco,"90,363"
TURKEY,
Number of suppliers with purchases in the year,194
Number of sewing factories associated with suppliers with purchase,926
Number of factories involved in other processes associated with suppliers with purchase (114),864
Workforce of manufacturers working for Inditex in Turkey,"383,032"
INDIA,
Number of suppliers with purchases in the year,99
Number of sewing factories associated with suppliers with purchase,120
Number of factories involved in other processes associated with suppliers with purchase (114),310
Workforce of manufacturers working for Inditex in India,"435,469"
BANGLADESH,
Number of suppliers with purchases in the year,129
Number of sewing factories associated with suppliers with purchase,251
Number of factories involved in other processes associated with suppliers with purchase (114),189
Workforce of manufacturers working for Inditex in Bangladesh,"845,778"
VIETNAM,
Number of suppliers with purchases in the year,9
Number of sewing factories associated with suppliers with purchase,105
Number of factories involved in other processes associated with suppliers with purchase (114),44
Workforce of manufacturers working for Inditex in Vietnam,"134,970"
CAMBODIA,
Number of suppliers with purchases in the year,3
Number of sewing factories associated with suppliers with purchase,87
Number offactories involved in other processes associated with suppliers with purchase (114),18
Workforce of manufacturers working for Inditex in Cambodia,"92,146"
CHINA,
Number of suppliers with purchases in the year,415
Number of sewing factories associated with suppliers with purchase,"1,530"
Number of factories involved in other processes associated with suppliers with purchase (114),"1,505"
Workforce of manufacturers working for Inditex in China,"652,808"
PAKISTAN,
Number of suppliers with purchases in the year,48
Number of sewing factories associated with suppliers with purchase,69
Number of factories involved in other processes associated with suppliers with purchase (114),94
Workforce of manufacturers working for Inditex in Pakistan,"381,607"
ARGENTINA (115),
Number of suppliers with purchases in the year,14
Number of sewing factories associated with suppliers with purchase,17
Number of factories involved in other processes associated with suppliers with purchase (114),59
Workforce of manufacturers working for Inditex in Argentina,"8,499"
BRAZIL (115),
Number of suppliers with purchases in the year,1
Number of sewing factories associated with suppliers with purchase,2
Number of factories involved in other processes associated with suppliers with purchase (114),5
Workforce of manufacturers working for Inditex in Brazil,"4,989"
