SDGS,Targets,COLLABORATING TO HAVEA POSITIVE IMPACT,Main indicator or related content(2016 GRI version if not stated otherwise)
1 POVYETY广不馆,1.2,Collaborating to generate value in the community,GRI 203-2
2,2.1,Collaborating to generate value in the community,GRI203-2
2,2.4,Collaborating to generate value in the community,GRI 203-2
3OO HEW,3.4,"Collaborating with our people,the engine of thattransformation",GRI 403-2 (2018)
3OO HEW,3.4,Collaborating so our suppliers grow,Supply chain workers benefiting from healthand safety programmes
3OO HEW,3.8,Collaborating to generate value in the community,GRI203-2
3OO HEW,3.9,Collaborating to transform through sustainablemanagement of our products,Chemical substances included in the Manufacturing Restricted Substances List (MRSL)
3OO HEW,3.9,Collaborating to safeguard the planet,GRI 305-1; GRI305-2; GRI305-3
4 AITO,4.4and4.5,"Collaborating with our people,the engine of thattransformation",GRI 404-1
4 AITO,4.4and4.5,Collaborating to generate value in the community,GRI 203-2
5R,5.1,"Collaborating with our people,the engine of thattransformation",GRI 405-1; GRI 401-3; GRI 405-2
5R,5.1,Collaborating so our suppliers grow,"Supply chain workers benefiting fromgender,diversity and inclusionprogrammes"
5R,5.1,Collaborating so our suppliers grow,GRI 406-1
5R,5.1,Collaborating to generate value in the community,GRI 203-2
5R,5.1,"Good governance,corporate ethics culture andsolid compliance architecture",GRI 405-1
5R,5.2,Collaborating so our suppliers grow,GRI 414-2
5R,5.5,"Good governance,corporate ethics culture and solid compliance architecture",GRI 102-22
6GCEEAIAQ,6.4,Collaborating so our suppliers grow,Number of environmental audits carried outand the resulting correctiveaction plans
6GCEEAIAQ,6.4,Collaborating to safeguard the planet,GRI303-3 (2018)
6GCEEAIAQ,6.4,Collaborating to generate value in thecommunity,GRI 203-2
7 燕,7.2,Collaborating to safeguard the planet,GRI302-1
7 燕,7.2,Collaborating to generate value in the community,GRI 203-2
7 燕,7.3,Collaborating to safeguard the planet,GRI 302-4
8UETIAM,8.5,"Collaborating with our people,the engine of thattransformation",GRI 102-8; GRI 405-2
8UETIAM,8.5,Collaborating so our suppliers grow,Workers involved in the Workers at theCentre 2019-2022 programmes
8UETIAM,8.5,Collaborating to generate value in the community,GRI203-2
8UETIAM,8.5,"Good governance,corporate ethics culture andsolid compliance architecture",Policies formalizing Inditex's commitmentto decent work
8UETIAM,8.6,"Collaborating with our people,the engine of thattransformation",GRI 401-1
8UETIAM,8.6,Collaborating to generate value in the community,GRI203-2
8UETIAM,8.7,Collaborating so our suppliers grow,GRI 408-1; GRI 409-1
8UETIAM,8.8,"Collaborating with our people,the engine of thattransformation",GRI 102-41
8UETIAM,8.8,Collaborating so our suppliers grow,Actions taken for the protection of workers in the supply chain within the frameworkWorkers at the Centre 2019-2022
8UETIAM,8.8,Collaborating so our suppliers grow,GRI 407-1
8UETIAM,8.8,Collaborating to generate value in the community,GRI 203-2
9STE,9.2,Fiscal responsibilityand transparency,GRI 201-1
9STE,9.4,Colaboramos para transformar a través de unagestion sostenible de nuestros productos,Initiatives developed by the SustainabilityInnovation Hub
9STE,9.4,Collaborating to safeguard the planet,"LEED and BREAM Certifications in owndistribution centres, headquarters andstores"
9STE,9.4,Collaborating to generate value in the community,GRI 203-1
9STE,9.5,Responsible risk management,Technology-related information securityinitiatives
10 AIET,10.2,Collaborating to generate value in the community,GRI 203-2
10 AIET,10.3,"Collaborating with our people,the engine of thattransformation",GRI 405-2
10 AIET,10.7,Collaborating so our suppliers grow,Workers benefiting from protection ofmigrants and refugees programmes
11 NSTAA,11.1,Collaborating to generate value in the community,GRI 203-1
12 AND PRODUCNON8,12.2,Collaborating to transform through sustainablemanagement of our products,GRI 301-1; GRI301-2
12 AND PRODUCNON8,12.2,Collaborating so our suppliers grow,Identification of suppliers andmanufacturers
12 AND PRODUCNON8,12.2,Collaborating to safeguard the planet,GRI302-2
12 AND PRODUCNON8,12.2,Collaborating to generate value in the community,GRI203-2
12 AND PRODUCNON8,12.4,Collaborating to transform through sustainablemanagement of our products,GRI301-2
12 AND PRODUCNON8,12.4,Collaborating to safeguard the planet,GRI306-1(2020)
12 AND PRODUCNON8,12.5,Collaborating to safeguard the planet,GRI306-3 (2020);GRI306-4 (2020)
