Name,Type,Accrual period 2021
Mr PABLO ISLA ÁLVAREZ DE TEJERA,Executive,From 01/02/2021 to 31/01/2022
Mr CARLOS CRESPO GONZÁLEZ,Executive,From 01/02/2021 to 29/11/2021
Mr ÓSCAR GARCÍA MACEIRAS,Executive,From 29/11/2021 to 31/01/2022
Mr AMANCIO ORTEGA GAONA,Proprietary,From 01/02/2021 to 31/01/2022
"""PONTEGADEA INVERSIONES, S.L.",Proprietary,From 01/02/2021 to 31/01/2022
(REPRESENTED BY MS. FLORA PÉREZ MARCOTE),Proprietary,From 01/02/2021 to 31/01/2022
BNS. DENISE PATRICIA KINGSMILL,Independent,From 01/02/2021 to 31/01/2022
Mr JOSÉ LUIS DURÁN SCHULZ,Independent,From 01/02/2021 to 31/01/2022
Mr RODRIGO ECHENIQUE GORDILLO,Independent,From 01/02/2021 to 31/01/2022
Ms PILAR LÓPEZ ÁLVAREZ,Independent,From 01/02/2021 to 31/01/2022
Mr EMILIO SARACHO RODRÍGUEZ DE TORRES,Independent,From 01/02/2021 to 31/01/2022
Mr ANNE LANGE,Independent,From 01/02/2021 to 31/01/2022
