Name,Fixedremuneration,Attendancefees,Remunerationformembership ofboardcommittees,Salary,Short-termvariableremuneration,Long-termvariableremuneration,Indemnification,Otheritems,Total year2021,Total year2020
Mr PABLO ISLA ALVAREZ DE TEJERA,100,-,-,"3,250","4,875",1.760-,1,-,"9,985","5,885"
Mr CARLOS CRESPO GONZALEZ130,83,-,1,"1,179",1.868,1.099-,-,-,"4,229","2,770"
Mr OSCAR GARCIA MACEIRAS131,17,,,277,382,36,,,712,1
Mr AMANCIO ORTEGA GAONA,100,-,-,-,-,1,1,-,100,100
Mr JOSE ARNAU SIERRA,100,,200,-,-,-,,80,380,380
"PONTEGADEA INVERSIONES, S.L.(REPRESENTED BY MS.FLORA PEREZMARCOTE)",100,-,1,1,-,-,,1,100,100
BNS.DENISE PATRICIA KINGSMILL,100,-,150,:,1,1,1,50,300,300
Mr JOSE LUIS DURAN SCHULZ,100,,150,1,-,1,,,250,273
Mr RODRIGO ECHENIQUE GORDILLO,100,-,150,-,-,,,50,300,300
Ms PILAR LOPEZ ALVAREZ,100,-,150,-,1,1,-,50,300,277
Mr EMILIO SARACHO RODRIGUEZ DETORRES,100,,150,-,1,,-,50,300,300
Ms ANNE LANGE,100,-,150,-,,1,,1,250,250
