Name,Total cash remuneration,EBITDA of vested shares or financial instruments,Remuneration by way of savings systems,Other items of remuneration,Total FY2021 company
Mr PABLO ISLA ÁLVAREZ DE TEJERA,"9,985","2,458",,,
Mr CARLOS CRESPO GONZÁLEZ134,"4,229","1,534",,,
Mr ÓSCAR GARCÍA MACEIRAS135,712,34,,,
Mr AMANCIO ORTEGA GAONA,100,,,,
Mr JOSÉ ARNAU SIERRA,380,,,,
"PONTEGADEA INVERSIONES, S.L. (REPRESENTED BY MS. FLORA PÉREZ MARCOTE)",100,,,,
BNS. DENISE PATRICIA KINGSMILL,300,,,,
Mr JOSÉ LUIS DURÁN SCHULZ,250,,,,
Mr RODRIGO ECHENIQUE GORDILLO,300,,,,
Ms PILAR LÓPEZ ÁLVAREZ,300,,,,
Mr EMILIO SARACHO RODRÍGUEZ DE TORRES,300,,,,
Ms ANNE LANGE,250,,,,
TOTAL,"17,206","4,026","21,232",,
