Supervisory Board,Supervisory Board,Supervisory Board,,,,Innovation and Finance Committee,Innovation and Finance Committee,Related-Party Transactions Committee,Related-Party Transactions Committee
(Number of meetings/participation in %),(plenarymeetings) No.,in%,Chairman's Committee No.,in %,Audit Committee No.,in%,No.,in % No.,in %
Prof. Dr.Ralf P.Thomas,717,100,10/10,100,6/6,100,4/4,100,
Chairman Dr. Norbert Gaus,717,100,10/10,100,,,414,100,
Deputy Chairman Dr. Roland Busch,717,100,,,,,,100,
Dr. Marion Helmes,717,100,,,6/6,100,4/4,1/1,100
Dr. Andreas C. Hoffmann,717,100,10/10,100,6/6,100,,1/1,100
Dr. Philipp Rosler,717,100,,,,,,,
Peer M.Schatz,3/3,100,,,,,212,100,
"(since March 23,2021) Dr. Nathalie von Siemens",717,100,,,,,,,
Dr. Gregory Sorensen,717,100,,,,,4/4,100,
Karl-Heinz Streibich,717,100,,,,,414,100 1/1,100
,,100,,100,,100,100,,100
