in millions of €,Gross carrying amount at beginning of fiscal year 2021
Internally generated technology,"1,812"
"Acquired technology including patents, licenses and similar rights",862
Customer relationships and trademarks,"2,331"
Total other intangible assets,"5,005"
Land and buildings,"1,340"
Technical machinery and equipment,874
Office and other equipment,"1,103"
Equipment leased to others,"1,866"
Advances to suppliers and construction in progress,264
Right-of-use assets for land and buildings,459
"Right-of-use assets for other property, plant and equipment",128
"Total property, plant and equipment","6,033"
