(in millions of €),Gross carrying amount at beginning of fiscal year 2020
Internally generated technology,"1,655"
"Acquired technology including patents, licenses and similar rights",567
Customer relationships and trademarks,"2,327"
Total other intangible assets,"4,549"
Land and buildings,"1,220"
Technical machinery and equipment,861
Office and other equipment,"1,088"
Equipment leased to others,"1,784"
Advances to suppliers and construction in progress,374
Right-of-use assets for land and buildings,368
"Right-of-use assets for other property, plant and equipment",94
"Total property, plant and equipment","5,788"
