,Deal contingent forward,Deal contingent forward,Equity instruments,,Debt instruments,Debt instruments,Contingent consideration,Contingent consideration,Liabilities from written,Liabilities from written
,Deal contingent forward,Deal contingent forward,Equity instruments,truments,through profit or loss,through profit or loss,Contingent consideration,Contingent consideration,,
,Deal contingent forward,Deal contingent forward,Equity instruments,truments,through profit or loss,through profit or loss,Contingent consideration,Contingent consideration,put options on non-controlling interests,put options on non-controlling interests
,Fiscal year,Fiscal year,Fiscal year,Fiscal year,Fiscal year,Fiscal year,Fiscal year,Fiscal year,Fiscal year,Fiscal year
(in millions of €),2021,2020,2021,2020,2021,2020,2021,2020,2021,2020
Balance at beginning offiscal year,,,,,,,,,,
Balance at beginning offiscal year,25,,53,51,一,,7,27,31,17
Gains and lossesrecognized in profit or loss,,,,,,,,,,
Gains and lossesrecognized in profit or loss,-89,,18,1,2,,,,,一
Gains and lossesrecognized in equity,,,,,,,,,,
Gains and lossesrecognized in equity,-115,25,5,1,,,,,41,-44
Additions,1,,11,4,,,,,,58
Disposals and settlements,179,,-14,,,,-4,-20,,一
Currency translation,,,,,,,,,,
differences,,,3,-4,1,,,,,
Other,,,54,,39,,24,,,
Balance at end of fiscal year,=,25,130,53,42,,27,7,72,31
