Tranche 2020,Tranche 2020,Tranche 2020
Plan design I,Plan design I,Plan design I
development of the total shareholder return incomparison to competitors (TSR),development of the total shareholder return incomparison to competitors (TSR),n.a.
0-200%,0-200%,n.a.
About 4 years,About 4 years,About 1 to about 4 years
"Members of the Managing Board,eligible members ofsenior management and other eligible employees","Members of the Managing Board,eligible members ofsenior management and other eligible employees",Members of senior managementand other eligible employees
Equity-settled share-based payment,Equity-settled share-based payment,
"354,9551","354,9551",784.924
€8 million,€8 million,€32 million
Valuation model,Valuation model,Share price less present value ofexpected dividends
Members of the Members of senior managementManaging Board and other eligible employees,Members of the Members of senior managementManaging Board and other eligible employees,Members of senior managementand other eligible employees
21.28% 21.36%,21.28% 21.36%,n.a.
€42.59,€43.50,€43.50
1.88%,1.84%,n.a.
-0.27% -0.27%,-0.27% -0.27%,n.a.
