in millions of €,Revenue by customer location,Revenue by entity location,Fiscal year,Fiscal year,Fiscal year,Fiscal year
in millions of €,2021,2020,2021,2020,2021,2020
"Europe, C.I.S., Africa, Middle East (EMEA)",6775,4747,6935,5094,6935,5094
Americas,6407,5691,6610,5665,6610,5665
"Asia, Australia",4815,4022,4452,3701,4452,3701
Total,17997,14460,17997,14460,17997,14460
Thereof:,,,Thereof:,,,
Germany,1745,874,2274,1418,2274,1418
Foreign countries,16252,13586,15723,13042,15723,13042
Therein:,,,Therein:,,,
United States,5466,4909,5770,4937,5770,4937
China,2354,1893,2151,1716,2151,1716
