```tsv
(Dollars in millions)	NORTH AMERICA	EUROPE, MIDDLE EAST & AFRICA	GREATER CHINA	ASIA PACIFIC & LATIN AMERICA	GLOBAL BRAND DIVISIONS	TOTAL NIKE BRAND	CONVERSE	CORPORATE	TOTAL NIKE, INC.
Revenues by:	$	$	$	$	$	$	$	$	$
Footwear	9,329	5,892	4,635	3,449	—	23,305	1,642	—	24,947
Apparel	4,639	3,053	1,896	1,365	—	10,953	89	—	11,042
Equipment	516	402	148	214	—	1,280	25	—	1,305
Other	—	—	—	—	30	30	90	(11)	109
TOTAL REVENUES	$	$	$	$	$	$	$	$	$
Revenues by:	$	$	$	$	$	$	$	$	$
Sales to Wholesale Customers	$	$	$	$	$	$	$	$	$
Sales through Direct to Consumer	5,113	2,773	2,876	1,620	—	12,382	602	—	12,984
Other	—	—	—	—	30	30	90	(11)	109
TOTAL REVENUES	$	$	$	$	$	$	$	$	$
```
